date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:54	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://gurbanichanan.org/robots.txt		(from )
16:33:54	145078/145078	---MCZ	200	added ('OK')	text/html	etag:7aa4bab15c4b41aef1d8af8f4d5f0116	https://gurbanichanan.org/	C:/Users/kavin/gurbanichanan/gurbanichanan.org/index.html	(from )
16:33:55	529/529	---MCZ	200	added ('OK')	application/manifest+json	etag:517d6f99c879c4254d590c5fcc50a1a8	https://gurbanichanan.org/manifest.webmanifest	C:/Users/kavin/gurbanichanan/gurbanichanan.org/manifest.webmanifest	(from https://gurbanichanan.org/)
16:33:55	32912/32912	---MCZ	200	added ('OK')	application/javascript	etag:ec88670fc6cbf78ff76e75f1fbd98ba2	https://gurbanichanan.org/sw.js	C:/Users/kavin/gurbanichanan/gurbanichanan.org/sw.js	(from https://gurbanichanan.org/)
16:33:55	85180/85180	---MCZ	200	added ('OK')	text/html	etag:a3e029259c2c849d6e096be7ad8ebdeb	https://gurbanichanan.org/magazine	C:/Users/kavin/gurbanichanan/gurbanichanan.org/magazine.html	(from https://gurbanichanan.org/)
16:33:55	54575/54575	---MCZ	200	added ('OK')	text/html	etag:9291a6fa18d9645e257ce7ea8102b1dc	https://gurbanichanan.org/activities	C:/Users/kavin/gurbanichanan/gurbanichanan.org/activities.html	(from https://gurbanichanan.org/)
16:33:59	61102/61102	---M-Z	200	added ('OK')	application/javascript	etag:%220089eff0e6bf8ab072f127a6ada23c74%22	http://img1.wsimg.com/blobby/go/f8a37975-36a1-45a2-b132-c7e29397eeef/gpub/51d718a1113223d1/script.js	C:/Users/kavin/gurbanichanan/img1.wsimg.com/blobby/go/f8a37975-36a1-45a2-b132-c7e29397eeef/gpub/51d718a1113223d1/script.js	(from https://gurbanichanan.org/)
16:33:59	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Dec%202023%2011:04:01%20GMT	http://img1.wsimg.com/traffic-assets/js/tccl.min.js	C:/Users/kavin/gurbanichanan/img1.wsimg.com/traffic-assets/js/tccl.min.js	(from https://gurbanichanan.org/)
16:34:00	49487/49487	---M-Z	200	added ('OK')	application/javascript	etag:%22d60f9e7337bc72bfb6114200036b808a%22	http://img1.wsimg.com/blobby/go/f8a37975-36a1-45a2-b132-c7e29397eeef/gpub/85e2df556a793a95/script.js	C:/Users/kavin/gurbanichanan/img1.wsimg.com/blobby/go/f8a37975-36a1-45a2-b132-c7e29397eeef/gpub/85e2df556a793a95/script.js	(from https://gurbanichanan.org/)
16:34:03	328686/328686	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2020%20Dec%202023%2011:03:57%20GMT	https://img1.wsimg.com/poly/v3/polyfill.min.js?rum=0&unknown=polyfill&flags=gated&features=Intl.~locale.en-IN	C:/Users/kavin/gurbanichanan/img1.wsimg.com/poly/v3/polyfill.min6ee5.js	(from https://gurbanichanan.org/)
16:34:04	315601/315601	---M-Z	200	added ('OK')	application/javascript	etag:%221ac6eb1f47c6d412432a60133b2306ac%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.34.7.js	C:/Users/kavin/gurbanichanan/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.34.7.js	(from https://gurbanichanan.org/)
16:34:05	46665/46665	---M-Z	200	added ('OK')	text/javascript	etag:%228e70743bdf9b3d3adbb26471c84a006c%22	https://img1.wsimg.com/signals/js/clients/tccl/tccl.min.js	C:/Users/kavin/gurbanichanan/img1.wsimg.com/signals/js/clients/tccl/tccl.min.js	(from https://gurbanichanan.org/)
16:34:05	61102/61102	---M-Z	200	added ('OK')	application/javascript	etag:%22e854fbe2a3517ba1a459cf234b53842d%22	http://img1.wsimg.com/blobby/go/f8a37975-36a1-45a2-b132-c7e29397eeef/gpub/9d7f059fcbcf5756/script.js	C:/Users/kavin/gurbanichanan/img1.wsimg.com/blobby/go/f8a37975-36a1-45a2-b132-c7e29397eeef/gpub/9d7f059fcbcf5756/script.js	(from https://gurbanichanan.org/magazine)
16:34:06	35859/35859	---M-Z	200	added ('OK')	application/javascript	etag:%220bb669408e12b3decd21cca806ed42c9%22	http://img1.wsimg.com/blobby/go/f8a37975-36a1-45a2-b132-c7e29397eeef/gpub/902f82d35a3a009d/script.js	C:/Users/kavin/gurbanichanan/img1.wsimg.com/blobby/go/f8a37975-36a1-45a2-b132-c7e29397eeef/gpub/902f82d35a3a009d/script.js	(from https://gurbanichanan.org/magazine)
16:34:07	61101/61101	---M-Z	200	added ('OK')	application/javascript	etag:%221c339f6371d8dfc73269e007e93ca2a2%22	http://img1.wsimg.com/blobby/go/f8a37975-36a1-45a2-b132-c7e29397eeef/gpub/a455f0175d47a78c/script.js	C:/Users/kavin/gurbanichanan/img1.wsimg.com/blobby/go/f8a37975-36a1-45a2-b132-c7e29397eeef/gpub/a455f0175d47a78c/script.js	(from https://gurbanichanan.org/activities)
16:34:07	26887/26887	---M-Z	200	added ('OK')	application/javascript	etag:%2226495b9741df9fd38f7c817a7157133c%22	http://img1.wsimg.com/blobby/go/f8a37975-36a1-45a2-b132-c7e29397eeef/gpub/e53c5cc3ec367139/script.js	C:/Users/kavin/gurbanichanan/img1.wsimg.com/blobby/go/f8a37975-36a1-45a2-b132-c7e29397eeef/gpub/e53c5cc3ec367139/script.js	(from https://gurbanichanan.org/activities)
